Time,Power,Class
1078,0.189,fridge
1079,0.183,fridge
1080,0.18,fridge
1081,0.186,fridge
1082,0.015,fridge
1083,0,fridge
1084,0,fridge
1085,0,fridge
1086,0,fridge
1087,0,fridge
1088,0,fridge
1089,0,fridge
1090,0,fridge
1091,0.237,fridge
1092,0.186,fridge
1093,0.255,fridge
1094,0.219,fridge
1095,0.201,fridge
1096,0.201,fridge
1097,0.207,fridge
1098,0.177,fridge
1099,0.195,fridge
1100,0.138,fridge
1101,0.159,fridge
1102,0.162,fridge
1103,0.168,fridge
1104,0.171,fridge
1105,0.171,fridge
1106,0.138,fridge
1107,0.162,fridge
1108,0.174,fridge
1109,0.114,fridge
1110,0.165,fridge
1111,0,None
1112,0.084,macbook air
1113,0.108,macbook air
1114,0.111,macbook air
1115,0.12,macbook air
1116,0.108,macbook air
1117,0.162,macbook air
1118,0.108,macbook air
1119,0.117,macbook air
1120,0.108,macbook air
1121,0.117,macbook air
1122,0.126,macbook air
1123,0.135,macbook air
1124,0.117,macbook air
1125,0.093,macbook air
1126,0.117,macbook air
1127,0.099,macbook air
1128,0.072,macbook air
1129,0.105,macbook air
1130,0.075,macbook air
1131,0.075,macbook air
1132,0.072,macbook air
1133,0.075,macbook air
1134,0.066,macbook air
1135,0.066,macbook air
1136,0.06,macbook air
1137,0.093,macbook air
1138,0.075,macbook air
1139,0.072,macbook air
1140,0.069,macbook air
1141,0.066,macbook air
1142,0.063,macbook air
1143,0.081,macbook air
1144,0.042,macbook air
1145,0.042,macbook air
1146,0.072,macbook air
1147,0.054,macbook air
1148,0.057,macbook air
1149,0.084,macbook air
1150,0.057,macbook air
1151,0.066,macbook air
1152,0.063,macbook air
1153,0.06,macbook air
1154,0.06,macbook air
1155,0.051,macbook air
1156,0.06,macbook air
1157,0.069,macbook air
1158,0.066,macbook air
1159,0.075,macbook air
1160,0.057,macbook air
1161,0.054,macbook air
1162,0.054,macbook air
1163,0.051,macbook air
1164,0.054,macbook air
1165,0.063,macbook air
1166,0.051,macbook air
1167,0.06,macbook air
1168,0.048,macbook air
1169,0.051,macbook air
1170,0.048,macbook air
1171,0.054,macbook air
1172,0.051,macbook air
1173,0.051,macbook air
1174,0.048,macbook air
1175,0.048,macbook air
1176,0.039,macbook air
1177,0.039,macbook air
1178,0.063,macbook air
1179,0.027,macbook air
1180,0.039,macbook air
1181,0.042,macbook air
1182,0.042,macbook air
1183,0.042,macbook air
1184,0.042,macbook air
1185,0.039,macbook air
1186,0.042,macbook air
1187,0.042,macbook air
1188,0.036,macbook air
1189,0.036,macbook air
1190,0.036,macbook air
1191,0.03,macbook air
1192,0.033,macbook air
1193,0.033,macbook air
1194,0.036,macbook air
1195,0.03,macbook air
1196,0.03,macbook air
1197,0.024,macbook air
1198,0.03,macbook air
1199,0.027,macbook air
1200,0,None
1201,0.069,macbook air
1202,0.114,macbook air
1203,0.081,macbook air
1204,0.114,macbook air
1205,0.084,macbook air
1206,0.111,macbook air
1207,0.111,macbook air
1208,0.096,macbook air
1209,0.102,macbook air
1210,0.105,macbook air
1211,0.099,macbook air
1212,0.102,macbook air
1213,0.105,macbook air
1214,0.111,macbook air
1215,0.096,macbook air
1216,0.093,macbook air
1217,0.054,macbook air
1218,0.054,macbook air
1219,0.078,macbook air
1220,0.084,macbook air
1221,0.081,macbook air
1222,0.078,macbook air
1223,0.072,macbook air
